Text,Image,Folio
urn:cts:greekLit:tlg5026.msAint.hmt:12.F1,"urn:cite:hmt:vaimg.VA163RN-0334@0.1092,0.2526,0.0591,0.0195",urn:cite:hmt:msA.163r
urn:cts:greekLit:tlg5026.msAint.hmt:12.F2,"urn:cite:hmt:vaimg.VA163RN-0334@0.1032,0.2925,0.0752,0.0414",urn:cite:hmt:msA.163r
urn:cts:greekLit:tlg5026.msAint.hmt:12.F3,"urn:cite:hmt:vaimg.VA163RN-0334@0.1142,0.3391,0.0701,0.0376",urn:cite:hmt:msA.163r
urn:cts:greekLit:tlg5026.msAint.hmt:12.F4,"urn:cite:hmt:vaimg.VA163RN-0334@0.0992,0.5361,0.0812,0.0376",urn:cite:hmt:msA.163r
urn:cts:greekLit:tlg5026.msAint.hmt:12.F5,"urn:cite:hmt:vaimg.VA163RN-0334@0.0952,0.6323,0.0812,0.0286",urn:cite:hmt:msA.163r
urn:cts:greekLit:tlg5026.msAint.hmt:12.B1,"urn:cite:hmt:vaimg.VA155RN-0327@0.1017,0.2061,0.0726,0.034",urn:cite:hmt:msA.155r
urn:cts:greekLit:tlg5026.msAint.hmt:12.B2,"urn:cite:hmt:vaimg.VA155RN-0327@0.0914,0.4043,0.0768,0.0501",urn:cite:hmt:msA.155r
urn:cts:greekLit:tlg5026.msAint.hmt:12.B3,"urn:cite:hmt:vaimg.VA155RN-0327@0.0969,0.4814,0.07,0.0131",urn:cite:hmt:msA.155r
urn:cts:greekLit:tlg5026.msAint.hmt:12.B4,"urn:cite:hmt:vaimg.VA155RN-0327@0.0919,0.5554,0.0754,0.0238",urn:cite:hmt:msA.155r
urn:cts:greekLit:tlg5026.msAint.hmt:12.B5,"urn:cite:hmt:vaimg.VA155RN-0327@0.0875,0.595,0.0652,0.0299",urn:cite:hmt:msA.155r
urn:cts:greekLit:tlg5026.msAint.hmt:12.G1,"urn:cite:hmt:vaimg.VA157RN-0328@0.1081,0.4703,0.0581,0.0353",urn:cite:hmt:msA.157r
urn:cts:greekLit:tlg5026.msAint.hmt:12.G2,"urn:cite:hmt:vaimg.VA157RN-0328@0.1061,0.5071,0.0621,0.0436",urn:cite:hmt:msA.157r
urn:cts:greekLit:tlg5026.msAint.hmt:12.G3,"urn:cite:hmt:vaimg.VA157RN-0328@0.0911,0.6003,0.0681,0.0308",urn:cite:hmt:msA.157r
urn:cts:greekLit:tlg5026.msAint.hmt:12.G4,"urn:cite:hmt:vaimg.VA157RN-0328@0.0871,0.6364,0.0771,0.0413",urn:cite:hmt:msA.157r
urn:cts:greekLit:tlg5026.msAint.hmt:12.H1,"urn:cite:hmt:vaimg.VA158RN-0329@0.111,0.5357,0.0443,0.0195",urn:cite:hmt:msA.158r
urn:cts:greekLit:tlg5026.msAint.hmt:12.J1,"urn:cite:hmt:vaimg.VA163VN-0665@0.883,0.265,0.034,0.0128",urn:cite:hmt:msA.163v
